Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/9/18, 16:00:00, 5680.75, 5694.25, 5677.75, 5690.75, 39180, 23920, 19643, 19537
2024/9/18, 16:15:00, 5690.75, 5696.50, 5690.00, 5693.00, 7567, 5215, 3508, 4059
2024/9/18, 16:30:00, 5693.00, 5695.75, 5688.00, 5689.50, 5695, 3932, 2814, 2881
2024/9/18, 16:45:00, 5689.75, 5692.25, 5687.50, 5689.75, 4624, 3247, 2211, 2413
2024/9/18, 18:00:00, 5693.00, 5697.25, 5691.00, 5696.50, 2607, 2096, 1285, 1322
2024/9/18, 18:15:00, 5696.50, 5702.00, 5696.50, 5700.75, 1766, 1507, 842, 924
2024/9/18, 18:30:00, 5700.75, 5702.75, 5700.25, 5701.50, 936, 785, 402, 534
2024/9/18, 18:45:00, 5701.50, 5701.75, 5696.75, 5698.75, 1392, 1219, 708, 684
2024/9/18, 19:00:00, 5698.75, 5702.25, 5698.25, 5699.50, 1322, 1166, 649, 673
2024/9/18, 19:15:00, 5699.25, 5699.25, 5693.25, 5694.75, 1579, 1327, 889, 690
2024/9/18, 19:30:00, 5695.00, 5698.25, 5693.00, 5696.25, 1081, 998, 505, 576
2024/9/18, 19:45:00, 5695.75, 5719.25, 5695.50, 5718.25, 6121, 5075, 2633, 3488
2024/9/18, 20:00:00, 5718.00, 5729.75, 5715.25, 5717.50, 10505, 9294, 5233, 5272
2024/9/18, 20:15:00, 5717.25, 5721.00, 5713.50, 5716.25, 4669, 4222, 2362, 2307
2024/9/18, 20:30:00, 5716.00, 5716.00, 5706.50, 5707.50, 4107, 3500, 2298, 1809
2024/9/18, 20:45:00, 5707.25, 5709.00, 5703.25, 5706.00, 3490, 3120, 1724, 1766
2024/9/18, 21:00:00, 5706.25, 5706.75, 5698.00, 5703.75, 3348, 2915, 1746, 1602
2024/9/18, 21:15:00, 5703.75, 5707.75, 5702.25, 5702.75, 2682, 2455, 1311, 1371
2024/9/18, 21:30:00, 5702.75, 5707.00, 5698.75, 5706.25, 2874, 2676, 1308, 1566
2024/9/18, 21:45:00, 5706.00, 5711.75, 5705.25, 5711.75, 2522, 2113, 1079, 1443
2024/9/18, 22:00:00, 5711.75, 5719.25, 5711.50, 5718.75, 3724, 3001, 1638, 2086
2024/9/18, 22:15:00, 5718.50, 5722.25, 5718.50, 5722.25, 2307, 1954, 1048, 1259
2024/9/18, 22:30:00, 5722.50, 5733.25, 5720.75, 5731.50, 4968, 4050, 2121, 2847
2024/9/18, 22:45:00, 5731.50, 5732.75, 5729.00, 5730.50, 2836, 2422, 1445, 1391
2024/9/18, 23:00:00, 5730.25, 5733.25, 5727.75, 5728.25, 3669, 3072, 1889, 1780
2024/9/18, 23:15:00, 5728.50, 5731.50, 5725.50, 5731.00, 2162, 1868, 1037, 1125
2024/9/18, 23:30:00, 5731.25, 5737.00, 5730.00, 5734.75, 3985, 3303, 1937, 2048
2024/9/18, 23:45:00, 5734.75, 5738.00, 5734.50, 5737.25, 2142, 1809, 1057, 1085
2024/9/19, 00:00:00, 5737.50, 5738.25, 5733.75, 5735.00, 2471, 1934, 1194, 1277
2024/9/19, 00:15:00, 5735.00, 5736.00, 5733.50, 5733.75, 1242, 1100, 718, 524
2024/9/19, 00:30:00, 5734.00, 5737.25, 5733.25, 5734.25, 1009, 901, 526, 483
2024/9/19, 00:45:00, 5734.25, 5736.50, 5734.00, 5736.00, 955, 774, 370, 585
2024/9/19, 01:00:00, 5736.00, 5737.00, 5733.50, 5735.50, 1402, 1161, 670, 732
2024/9/19, 01:15:00, 5735.50, 5736.00, 5732.25, 5734.25, 1414, 1182, 729, 685
2024/9/19, 01:30:00, 5734.00, 5735.25, 5733.00, 5734.75, 2189, 1468, 1071, 1118
2024/9/19, 01:45:00, 5735.00, 5739.00, 5731.50, 5737.50, 3071, 2518, 1496, 1575
2024/9/19, 02:00:00, 5737.25, 5738.00, 5735.00, 5736.25, 2579, 2098, 1311, 1268
2024/9/19, 02:15:00, 5736.25, 5743.50, 5733.50, 5741.50, 4219, 3378, 2019, 2200
2024/9/19, 02:30:00, 5741.75, 5742.75, 5740.50, 5741.25, 2631, 2040, 1207, 1424
2024/9/19, 02:45:00, 5741.25, 5745.00, 5740.50, 5743.25, 2865, 2256, 1148, 1717
2024/9/19, 03:00:00, 5743.25, 5747.00, 5740.00, 5740.50, 5207, 4282, 2622, 2585
2024/9/19, 03:15:00, 5740.50, 5743.25, 5738.50, 5739.25, 4145, 3461, 2149, 1996
2024/9/19, 03:30:00, 5739.50, 5746.00, 5735.75, 5745.25, 6313, 4823, 3163, 3150
2024/9/19, 03:45:00, 5745.25, 5751.75, 5743.50, 5751.75, 5054, 3772, 2317, 2737
2024/9/19, 04:00:00, 5751.75, 5754.75, 5747.00, 5754.25, 7073, 5557, 3613, 3460
2024/9/19, 04:15:00, 5754.50, 5754.50, 5748.00, 5751.50, 5305, 3915, 2645, 2660
2024/9/19, 04:30:00, 5751.25, 5757.25, 5751.25, 5756.00, 6649, 4530, 3175, 3474
2024/9/19, 04:45:00, 5756.00, 5758.00, 5754.75, 5756.25, 2931, 2380, 1484, 1447
2024/9/19, 05:00:00, 5756.50, 5765.75, 5755.00, 5763.75, 9280, 6600, 4395, 4885
2024/9/19, 05:15:00, 5764.00, 5767.25, 5763.00, 5764.50, 3840, 2997, 1849, 1991
2024/9/19, 05:30:00, 5764.75, 5768.25, 5763.75, 5767.25, 5010, 3396, 2554, 2456
2024/9/19, 05:45:00, 5767.00, 5767.75, 5766.00, 5767.00, 2911, 2091, 1534, 1377
2024/9/19, 06:00:00, 5766.75, 5770.00, 5765.00, 5768.25, 5460, 3653, 2733, 2727
2024/9/19, 06:15:00, 5768.00, 5773.00, 5767.25, 5772.50, 5093, 3151, 2214, 2879
2024/9/19, 06:30:00, 5772.50, 5774.75, 5771.75, 5773.00, 6401, 3896, 3326, 3075
2024/9/19, 06:45:00, 5773.00, 5774.75, 5772.00, 5773.25, 3170, 2329, 1580, 1590
2024/9/19, 07:00:00, 5773.00, 5774.25, 5770.50, 5771.00, 5406, 3912, 2875, 2531
2024/9/19, 07:15:00, 5771.25, 5772.50, 5770.25, 5772.25, 4586, 3096, 2483, 2103
2024/9/19, 07:30:00, 5772.00, 5779.00, 5771.00, 5776.50, 13969, 6486, 6518, 7451
2024/9/19, 07:45:00, 5776.25, 5776.25, 5772.25, 5773.75, 8439, 4785, 4943, 3496
2024/9/19, 08:00:00, 5773.50, 5775.00, 5771.50, 5774.00, 8755, 5672, 4395, 4360
2024/9/19, 08:15:00, 5773.75, 5775.00, 5770.75, 5771.25, 8707, 5341, 4649, 4058
2024/9/19, 08:30:00, 5771.75, 5775.00, 5767.00, 5768.75, 17976, 11286, 9697, 8279
2024/9/19, 08:45:00, 5768.75, 5769.75, 5767.25, 5768.50, 7262, 4628, 3945, 3317
2024/9/19, 09:00:00, 5768.25, 5777.00, 5763.75, 5776.25, 19974, 12027, 10536, 9438
2024/9/19, 09:15:00, 5776.25, 5779.00, 5773.50, 5778.25, 16173, 10998, 8037, 8136
2024/9/19, 09:30:00, 5778.25, 5779.25, 5758.25, 5759.50, 101134, 67162, 53618, 47516
2024/9/19, 09:45:00, 5759.50, 5765.00, 5748.25, 5763.50, 93832, 68379, 48045, 45787
2024/9/19, 10:00:00, 5763.50, 5772.00, 5761.25, 5770.50, 64247, 48113, 33041, 31206
2024/9/19, 10:15:00, 5770.75, 5782.00, 5768.00, 5781.75, 63439, 44527, 30407, 33032
2024/9/19, 10:30:00, 5781.50, 5787.50, 5772.50, 5775.75, 61824, 42882, 31418, 30406
2024/9/19, 10:45:00, 5776.00, 5776.25, 5765.25, 5767.00, 53476, 40024, 28706, 24770
2024/9/19, 11:00:00, 5767.00, 5774.50, 5762.00, 5768.25, 49691, 36166, 24185, 25506
2024/9/19, 11:15:00, 5768.25, 5779.75, 5768.00, 5777.00, 31254, 22540, 15650, 15604
2024/9/19, 11:30:00, 5777.00, 5778.50, 5772.50, 5776.00, 23562, 17952, 11503, 12059
2024/9/19, 11:45:00, 5776.00, 5779.75, 5768.25, 5772.00, 28244, 20446, 14453, 13791
2024/9/19, 12:00:00, 5772.00, 5782.25, 5771.00, 5778.25, 24555, 17709, 11504, 13051
2024/9/19, 12:15:00, 5778.25, 5786.50, 5776.00, 5784.75, 22102, 16138, 10560, 11542
2024/9/19, 12:30:00, 5785.00, 5788.75, 5783.50, 5786.00, 19385, 13181, 10084, 9301
2024/9/19, 12:45:00, 5786.25, 5788.75, 5780.00, 5783.25, 23277, 15383, 12289, 10988
2024/9/19, 13:00:00, 5783.50, 5786.75, 5781.25, 5784.50, 20225, 14289, 9975, 10250
2024/9/19, 13:15:00, 5784.50, 5789.25, 5783.25, 5787.00, 22686, 14998, 11455, 11231
2024/9/19, 13:30:00, 5787.00, 5794.25, 5786.75, 5794.00, 22933, 15641, 10306, 12627
2024/9/19, 13:45:00, 5794.00, 5797.50, 5792.75, 5793.25, 31801, 18824, 16450, 15351
2024/9/19, 14:00:00, 5793.50, 5795.75, 5786.25, 5786.75, 27168, 18648, 13723, 13445
2024/9/19, 14:15:00, 5787.00, 5788.75, 5777.00, 5788.25, 45375, 31247, 21199, 24176
2024/9/19, 14:30:00, 5788.25, 5790.50, 5784.50, 5789.25, 19318, 14277, 9988, 9330
2024/9/19, 14:45:00, 5789.25, 5789.50, 5778.50, 5787.25, 27723, 20526, 14881, 12842
2024/9/19, 15:00:00, 5787.50, 5789.50, 5781.75, 5782.00, 30215, 21008, 15627, 14588
2024/9/19, 15:15:00, 5782.00, 5785.00, 5774.75, 5779.75, 38794, 27599, 19069, 19725
2024/9/19, 15:30:00, 5779.75, 5784.75, 5774.25, 5778.75, 40200, 26751, 19675, 20525
2024/9/19, 15:45:00, 5778.50, 5785.75, 5771.50, 5778.00, 152165, 81839, 69078, 83087
2024/9/19, 16:00:00, 5777.75, 5778.50, 5772.50, 5772.75, 41469, 21706, 22028, 19441
2024/9/19, 16:15:00, 5772.75, 5776.25, 5772.50, 5775.75, 8212, 4010, 3743, 4469
2024/9/19, 16:30:00, 5775.75, 5776.75, 5775.50, 5776.50, 3326, 1847, 1369, 1957
2024/9/19, 16:45:00, 5776.75, 5776.75, 5773.00, 5774.50, 9394, 2216, 7689, 1705
2024/9/19, 18:00:00, 5776.00, 5776.75, 5774.00, 5776.00, 2245, 1833, 956, 1289
2024/9/19, 18:15:00, 5776.00, 5776.00, 5772.00, 5775.25, 1826, 1399, 820, 1006
2024/9/19, 18:30:00, 5775.25, 5775.75, 5769.50, 5770.50, 1323, 1110, 773, 550
2024/9/19, 18:45:00, 5770.50, 5772.25, 5768.75, 5772.25, 1066, 801, 446, 620
2024/9/19, 19:00:00, 5772.00, 5773.00, 5770.75, 5772.50, 751, 661, 372, 379
2024/9/19, 19:15:00, 5772.75, 5772.75, 5771.25, 5772.50, 598, 456, 354, 244
2024/9/19, 19:30:00, 5772.50, 5774.25, 5772.50, 5774.00, 727, 522, 368, 359
2024/9/19, 19:45:00, 5773.75, 5774.50, 5769.00, 5770.25, 1909, 1400, 957, 952
2024/9/19, 20:00:00, 5770.00, 5771.50, 5764.25, 5765.75, 4009, 2913, 1961, 2048
2024/9/19, 20:15:00, 5766.00, 5768.50, 5765.25, 5767.50, 2043, 1554, 954, 1089
2024/9/19, 20:30:00, 5767.75, 5768.00, 5765.75, 5766.50, 1229, 925, 519, 710
2024/9/19, 20:45:00, 5766.25, 5767.00, 5765.50, 5765.75, 1297, 1026, 658, 639
2024/9/19, 21:00:00, 5766.00, 5768.00, 5765.75, 5767.50, 993, 850, 464, 529
2024/9/19, 21:15:00, 5767.50, 5767.50, 5766.00, 5766.25, 758, 615, 432, 326
2024/9/19, 21:30:00, 5766.25, 5768.25, 5766.00, 5767.50, 1461, 1197, 618, 843
2024/9/19, 21:45:00, 5767.50, 5771.50, 5767.50, 5770.50, 2598, 1920, 1242, 1356
2024/9/19, 22:00:00, 5770.25, 5772.75, 5768.75, 5770.50, 1916, 1656, 940, 976
2024/9/19, 22:15:00, 5770.25, 5770.25, 5766.75, 5767.50, 910, 789, 483, 427
2024/9/19, 22:30:00, 5767.75, 5769.25, 5766.75, 5767.75, 815, 687, 339, 476
2024/9/19, 22:45:00, 5767.50, 5767.75, 5765.00, 5766.00, 1236, 1013, 744, 492
2024/9/19, 23:00:00, 5766.25, 5767.50, 5765.00, 5766.75, 1263, 1067, 623, 640
2024/9/19, 23:15:00, 5767.00, 5768.75, 5766.50, 5768.50, 1541, 1211, 683, 858
2024/9/19, 23:30:00, 5768.50, 5771.25, 5767.75, 5771.00, 1064, 891, 449, 615
2024/9/19, 23:45:00, 5771.00, 5771.50, 5770.25, 5771.00, 630, 533, 263, 367
2024/9/20, 00:00:00, 5771.00, 5771.75, 5769.75, 5771.50, 820, 692, 371, 449
2024/9/20, 00:15:00, 5771.50, 5771.75, 5769.25, 5771.50, 687, 577, 324, 363
2024/9/20, 00:30:00, 5771.50, 5773.00, 5771.50, 5772.25, 607, 540, 288, 319
2024/9/20, 00:45:00, 5772.25, 5772.50, 5771.50, 5772.00, 418, 387, 205, 213
2024/9/20, 01:00:00, 5772.00, 5772.25, 5767.75, 5769.00, 1058, 897, 519, 539
